quad										b
										
	żenżel			z-p-z-p²	zapzap					
ż-p-ż-p	żepżep			z-r-z-r	zerzer					
ż-r-b-n	żarban									
z-r-ġ-ġ	żarġaġ									
ż-r-ġ-n	żarġan	żżarġan								
ż-r-m-j	żarma	żżarma								
ż-r-n-q	żernaq									
ż-r-ż-q/ż-l-ż-q	żerżaq,									
	żelżaq									
ż-r-ż-r¹	żarżar									
ż-r-ż-r²	żerżer									
ż-q-ż-q	żaqżaq									
